tau,x,y
10.1375,2.4870941840919194,0.0
10.1375,2.504547476611863,0.0
10.1375,2.5220007691318065,0.0
10.1375,2.5394540616517496,0.0
10.1375,2.5569073541716927,0.0
10.1375,2.574360646691636,0.0
10.1375,2.5918139392115793,0.0
10.1375,2.609267231731523,0.0
10.1375,2.626720524251466,0.0
10.1375,2.644173816771409,0.0
10.1375,2.6616271092913526,0.0
10.1375,2.679080401811296,0.0
10.1375,2.6965336943312392,0.0
10.1375,2.7139869868511823,0.0
10.1375,2.7314402793711254,0.0
10.1375,2.748893571891069,0.0
10.1375,2.7663468644110125,0.0
10.1375,2.7838001569309556,0.0
10.1375,2.8012534494508987,0.0
10.1375,2.8187067419708423,0.0
10.1375,2.836160034490786,0.0
10.1375,2.853613327010729,0.0
10.1375,2.871066619530672,0.0
10.1375,2.888519912050615,0.0
10.1375,2.9059732045705586,0.0
10.1375,2.923426497090502,0.0
10.1375,2.9408797896104453,0.0
10.1375,2.9583330821303884,0.0
10.1375,2.975786374650332,0.0
10.1375,2.9932396671702755,0.0
10.1375,3.0106929596902186,0.0
10.1375,3.0281462522101616,0.0
10.1375,3.0455995447301047,0.0
10.1375,3.0630528372500483,0.0
10.1375,3.080506129769992,0.0
10.1375,3.097959422289935,0.0
10.1375,3.115412714809878,0.0
10.1375,3.1328660073298216,0.0
13.5,0.008726646259971648,0.0
13.5,0.026179938779914945,0.0
13.5,0.043633231299858244,0.0
13.5,0.061086523819801536,0.0
13.5,0.07853981633974483,0.0
13.5,0.09599310885968812,0.0
13.5,0.11344640137963143,0.0
13.5,0.13089969389957473,0.0
13.5,0.148352986419518,0.0
13.5,0.16580627893946132,0.0
13.5,0.18325957145940458,0.0
13.5,0.2007128639793479,0.0
13.5,0.21816615649929122,0.0
13.5,0.23561944901923448,0.0
13.5,0.2530727415391778,0.0
13.5,0.27052603405912107,0.0
13.5,0.2879793265790644,0.0
13.5,0.30543261909900765,0.0
13.5,0.32288591161895097,0.0
13.5,0.3403392041388943,0.0
13.5,0.35779249665883756,0.0
13.5,0.3752457891787808,0.0
13.5,0.39269908169872414,0.0
13.5,0.41015237421866746,0.0
13.5,0.4276056667386108,0.0
13.5,0.44505895925855404,0.0
13.5,0.4625122517784973,0.0
13.5,0.4799655442984406,0.0
13.5,0.49741883681838395,0.0
13.5,0.5148721293383272,0.0
13.5,0.5323254218582705,0.0
13.5,0.5497787143782138,0.0
13.5,0.5672320068981571,0.0
13.5,0.5846852994181004,0.0
13.5,0.6021385919380438,0.0
13.5,0.619591884457987,0.0
13.5,0.6370451769779303,0.0
13.5,0.6544984694978736,0.0
13.5,0.6719517620178168,0.0
13.5,0.6894050545377601,0.0
13.5,0.7068583470577035,0.0
13.5,0.7243116395776468,0.0
13.5,0.7417649320975901,0.0
13.5,0.7592182246175334,0.0
13.5,0.7766715171374766,0.0
13.5,0.7941248096574199,0.0
13.5,0.8115781021773633,0.0
13.5,0.8290313946973066,0.0
13.5,0.8464846872172498,0.0
13.5,0.8639379797371931,0.0
13.5,0.8813912722571364,0.0
13.5,0.8988445647770797,0.0
13.5,0.9162978572970231,0.0
13.5,0.9337511498169663,0.0
13.5,0.9512044423369096,0.0
13.5,0.9686577348568529,0.0
13.5,0.9861110273767962,0.0
13.5,1.0035643198967397,0.0
13.5,1.0210176124166828,0.0
13.5,1.038470904936626,0.0
13.5,1.0559241974565694,0.0
13.5,1.0733774899765125,0.0
13.5,1.090830782496456,0.0
13.5,1.1082840750163991,0.0
13.5,1.1257373675363427,0.0
13.5,1.1431906600562858,0.0
13.5,1.1606439525762293,0.0
13.5,1.1780972450961724,0.0
13.5,1.1955505376161157,0.05952808261099529
13.5,1.213003830136059,0.05952808261099454
13.5,1.2304571226560022,0.0892921239164918
13.5,1.2479104151759457,0.05952808261099454
13.5,1.2653637076958888,0.32740445436047
13.5,1.2828170002158323,0.3571684956659672
13.5,1.3002702927357754,0.8036291152484263
13.5,1.317723585255719,1.5477301478858578
13.5,1.335176877775662,1.9644267261628197
13.5,1.3526301702956054,2.3811233044398117
13.5,1.3700834628155487,3.303808584910197
13.5,1.3875367553354918,4.256257906686109
13.5,1.4049900478554354,4.583662361046579
13.5,1.4224433403753785,5.982572302404951
13.5,1.439896632895322,5.297999352378514
13.5,1.457349925415265,5.178943187156525
13.5,1.4748032179352086,4.911066815407049
13.5,1.4922565104551517,5.536111682822492
13.5,1.509709802975095,3.4823928327432245
13.5,1.5271630954950384,3.125224337077213
13.5,1.5446163880149815,1.8156065196353335
13.5,1.562069680534925,1.517966106580361
13.5,1.579522973054868,0.6250448674154426
13.5,1.5969762655748116,0.02976404130549727
13.5,1.6144295580947547,0.0
13.5,1.6318828506146983,0.0
13.5,1.6493361431346414,0.0
13.5,1.666789435654585,0.0
13.5,1.684242728174528,0.0
13.5,1.7016960206944711,0.0
13.5,1.7191493132144147,0.0
13.5,1.7366026057343578,0.0
13.5,1.7540558982543013,0.0
13.5,1.7715091907742444,0.0
13.5,1.788962483294188,0.0
13.5,1.806415775814131,0.0
13.5,1.8238690683340746,0.0
13.5,1.8413223608540177,0.0
13.5,1.8587756533739608,0.0
13.5,1.8762289458939043,0.0
13.5,1.8936822384138474,0.0
13.5,1.911135530933791,0.0
13.5,1.928588823453734,0.0
13.5,1.9460421159736776,0.0
13.5,1.9634954084936207,0.0
13.5,1.9809487010135642,0.0
13.5,1.9984019935335073,0.0
13.5,2.0158552860534504,0.0
13.5,2.033308578573394,0.0
13.5,2.0507618710933375,0.0
13.5,2.0682151636132806,0.0
13.5,2.0856684561332237,0.0
13.5,2.103121748653167,0.0
13.5,2.1205750411731104,0.0
13.5,2.138028333693054,0.0
13.5,2.155481626212997,0.0
13.5,2.17293491873294,0.0
13.5,2.1903882112528836,0.0
13.5,2.207841503772827,0.0
13.5,2.2252947962927703,0.0
13.5,2.2427480888127134,0.0
13.5,2.2602013813326565,0.0
13.5,2.2776546738526,0.0
13.5,2.2951079663725436,0.0
13.5,2.3125612588924866,0.0
13.5,2.3300145514124297,0.0
13.5,2.3474678439323733,0.0
13.5,2.364921136452317,0.0
13.5,2.38237442897226,0.0
13.5,2.399827721492203,0.0
13.5,2.417281014012146,0.0
13.5,2.4347343065320897,0.0
13.5,2.452187599052033,0.0
13.5,2.4696408915719763,0.0
13.5,2.4870941840919194,0.0
13.5,2.504547476611863,0.0
13.5,2.5220007691318065,0.0
13.5,2.5394540616517496,0.0
13.5,2.5569073541716927,0.0
13.5,2.574360646691636,0.0
13.5,2.5918139392115793,0.0
13.5,2.609267231731523,0.0
13.5,2.626720524251466,0.0
13.5,2.644173816771409,0.0
13.5,2.6616271092913526,0.0
13.5,2.679080401811296,0.0
13.5,2.6965336943312392,0.0
13.5,2.7139869868511823,0.0
13.5,2.7314402793711254,0.0
13.5,2.748893571891069,0.0
13.5,2.7663468644110125,0.0
13.5,2.7838001569309556,0.0
13.5,2.8012534494508987,0.0
13.5,2.8187067419708423,0.0
13.5,2.836160034490786,0.0
13.5,2.853613327010729,0.0
13.5,2.871066619530672,0.0
13.5,2.888519912050615,0.0
13.5,2.9059732045705586,0.0
13.5,2.923426497090502,0.0
13.5,2.9408797896104453,0.0
13.5,2.9583330821303884,0.0
13.5,2.975786374650332,0.0
13.5,2.9932396671702755,0.0
13.5,3.0106929596902186,0.0
13.5,3.0281462522101616,0.0
13.5,3.0455995447301047,0.0
13.5,3.0630528372500483,0.0
13.5,3.080506129769992,0.0
13.5,3.097959422289935,0.0
13.5,3.115412714809878,0.0
13.5,3.1328660073298216,0.0
